integrated_management_brief_id,decision_package_id,scenario_readiness,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence
IMB-E36AF0C6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260824,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2D07A01A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260903,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-BAE8B09B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260910,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F5FE764C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261012,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-BE951130,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261022,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F2BE0F3C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261112,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-01002709,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261117,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EF996049,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261126,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-BA0044BF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261205,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-836DF5D4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261216,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9C61F185,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261220,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9D731432,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260116,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C5B48087,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260208,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2EA1C64B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-79A11B2E,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260408,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D3D0FABB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260421,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6B454D57,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260502,1.0,Baseline value: 82.35294117647058,Estimated impact: 11.764705882352942%,Estimated impact: 17.64705882352942%,Estimated impact: 17.64705882352942%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-2796B7CF,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260605,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D04161A6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260616,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0D388BE3,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260717,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3B3E7177,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260723,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-72DA697D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-65659028,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,1.0,Baseline value: 85.51645658263305,Estimated impact: 12.17585110967464%,Estimated impact: 14.483543417366946%,Estimated impact: 14.483543417366946%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-94EED986,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E59022E1,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-488F8429,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-ABBCB808,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-66982692,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5311A3C7,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6E77FE59,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B06689AF,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A20204BB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DDBCA74A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9B3A037A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C72DFD31,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,1.0,Baseline value: 20.833333333333336,Estimated impact: -9.999999999999991%,Estimated impact: -20.000000000000004%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-C249D542,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-21A4937C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-18216C42,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1E1235B6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,1.0,Baseline value: 25.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-EA925B2A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-991D1296,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7D02BB10,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-978488DA,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DF6BD728,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8E809419,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C1CEA013,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D21BCD3C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-59D32CD8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0982DC98,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-555CD27D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-420D3178,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-03CC14C9,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-90B45E10,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6014C03B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4476FEFB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E4F3B3FE,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8E77B23A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4F662426,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260224,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1A3A1AB4,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260313,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B44D5BA4,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260410,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E40C31D9,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260418,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D30D7F8E,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260428,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B7461F23,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260503,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D6EC3D87,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260522,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F068CF87,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260603,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-749CCBF6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260619,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B928297C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260629,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E83B43E8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260703,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D41D43FE,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260710,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-522BED9F,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260719,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3A7BDA20,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260726,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9B8EFE1F,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260903,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8B2A1CCD,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261001,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-07E0198D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261012,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7CB158B8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261025,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-365FADBD,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261120,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-641C9EEA,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261125,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9E410851,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261129,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AF647C97,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261212,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5496ED2B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261216,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-520EDF42,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261226,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A5A04D64,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260107,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-66B1BFBE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260122,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0464A142,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260305,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3DD32D40,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260314,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C5401785,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260325,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-48A31F90,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2A0F35D2,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260405,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E3587609,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260417,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0AA92D43,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260423,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-373DE03B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260428,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-48377793,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260517,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-71988048,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260530,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9EAB9324,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260616,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3B9DA56D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260622,1.0,Baseline value: 80.37153322867609,Estimated impact: 18.31267729763969%,Estimated impact: 19.628466771323914%,Estimated impact: 19.628466771323914%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-500C91A1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260706,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-727DC88B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260815,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-233806C3,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260823,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5D07EFAF,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260830,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3F5D7851,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260929,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-337E9546,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261008,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-64CB2AB1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261017,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7138618A,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261029,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A7DD3EA1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261110,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C016253B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261116,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4660BD77,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261128,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D455FC38,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261203,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-64F9062C,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261209,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D4D88EDC,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261214,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0C18AC25,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261219,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CC8A3007,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261223,1.0,Baseline value: 70.83333333333333,Estimated impact: 19.16666666666667%,Estimated impact: 29.16666666666667%,Estimated impact: 29.16666666666667%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B018B677,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260118,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-E7B29B64,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260319,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-ECC69A67,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260404,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C37293B9,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260414,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7F9439AE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260421,1.0,Baseline value: 37.5,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-E32F4B41,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260504,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1487EEE7,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260704,1.0,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-CC65321E,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260826,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E3B2359A,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260926,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E9C7C886,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261009,1.0,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-85A3369E,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261030,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-E87609BE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261112,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1724B02D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261121,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-64A6A46F,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261226,1.0,Baseline value: 17.613636363636363,Estimated impact: -10.000000000000002%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-2683013D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260402,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E2BF4CC1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260410,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A2EF60AE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260420,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8D728E39,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260430,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-054A37CB,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260505,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DD372116,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260509,1.0,Baseline value: 48.41558441558441,Estimated impact: 6.297852474323065%,Estimated impact: 12.077922077922084%,Estimated impact: 20.988095238095244%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B20F8E28,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260602,1.0,Baseline value: 55.48675934738411,Estimated impact: 6.297852474323061%,Estimated impact: 12.077922077922084%,Estimated impact: 20.98809523809525%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B5450655,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260619,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DE6809A8,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260629,1.0,Baseline value: 55.3536873800953,Estimated impact: 6.29785247432306%,Estimated impact: 12.077922077922084%,Estimated impact: 20.98809523809524%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-91017594,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260709,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C214655F,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260716,1.0,Baseline value: 54.93961578400831,Estimated impact: 6.297852474323057%,Estimated impact: 12.07792207792209%,Estimated impact: 20.98809523809523%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-8131CC19,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260721,1.0,Baseline value: 55.4471983614125,Estimated impact: 6.297852474323065%,Estimated impact: 12.077922077922086%,Estimated impact: 20.98809523809524%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-AD0E56E9,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260518,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DF129B45,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260526,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E6B2329C,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260624,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AF6DB0C8,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260728,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-33091146,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260808,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0C9280CF,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260921,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D2015798,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20261002,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9DD66A55,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20261225,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-97D665D7,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260119,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-44DD0CDC,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260129,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0B54726D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260211,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E2CC0004,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260401,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D4C067C3,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260415,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C948C074,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260425,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6CA7D746,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260523,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-02295614,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260601,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-51B22CF8,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260606,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3078D9BC,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260715,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-71F36AC2,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260719,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EB214648,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260802,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9BAFAE33,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260818,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3813C2AB,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20261020,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8F19C026,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20261102,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5C11DD05,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20261117,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5703ACA2,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20261204,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F9D6D32D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20261215,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F98D4764,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260111,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8136893D,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260115,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-97878504,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260203,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-243F9F40,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260207,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-717EBFBB,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260212,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B64E3623,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260326,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
