integrated_management_brief_id,decision_package_id,export_type,export_appendix,display_order,available_flag,governance_note
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
