integrated_management_brief_id,decision_package_id,monitoring_required,monitoring_kpis,monitoring_frequency,trigger_condition,escalation_condition,reassessment_condition,monitoring_responsible_role,management_attention_required
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AC7E115B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261224,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F54C3B47,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260215,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D4B06227,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260403,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D92EC905,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260411,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A952A277,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260509,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-83619D53,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260515,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-1D9BD3AB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260603,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-48408839,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260619,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AC6D1811,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260623,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3E3AEB31,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260628,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A587DDF7,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260716,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-61C547DB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260725,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-CDACA704,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-62900A29,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260809,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E36AF0C6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260824,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2D07A01A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260903,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-BAE8B09B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260910,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F5FE764C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261012,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-BE951130,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261022,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F2BE0F3C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261112,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-01002709,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261117,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EF996049,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261126,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-BA0044BF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261205,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-836DF5D4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261216,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9C61F185,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261220,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9D731432,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260116,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C5B48087,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260208,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-2EA1C64B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-79A11B2E,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260408,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D3D0FABB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260421,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-6B454D57,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260502,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2796B7CF,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260605,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D04161A6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260616,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-0D388BE3,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260717,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3B3E7177,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260723,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-72DA697D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-65659028,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-94EED986,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-E59022E1,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-488F8429,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-ABBCB808,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-66982692,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-5311A3C7,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-6E77FE59,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B06689AF,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-A20204BB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-DDBCA74A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-9B3A037A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C72DFD31,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C249D542,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-21A4937C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-18216C42,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-1E1235B6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EA925B2A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-991D1296,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-7D02BB10,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-978488DA,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-DF6BD728,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8E809419,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C1CEA013,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D21BCD3C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-59D32CD8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0982DC98,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-555CD27D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-420D3178,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-03CC14C9,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-90B45E10,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-6014C03B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4476FEFB,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E4F3B3FE,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8E77B23A,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4F662426,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260224,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-1A3A1AB4,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260313,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B44D5BA4,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260410,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E40C31D9,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260418,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D30D7F8E,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260428,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B7461F23,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260503,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D6EC3D87,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260522,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F068CF87,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260603,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-749CCBF6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260619,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B928297C,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260629,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E83B43E8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260703,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D41D43FE,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260710,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-522BED9F,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260719,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3A7BDA20,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260726,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9B8EFE1F,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260903,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8B2A1CCD,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261001,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-07E0198D,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261012,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7CB158B8,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261025,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-365FADBD,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261120,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-641C9EEA,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261125,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9E410851,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261129,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AF647C97,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261212,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5496ED2B,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261216,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-520EDF42,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20261226,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A5A04D64,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260107,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-66B1BFBE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260122,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0464A142,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260305,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3DD32D40,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260314,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C5401785,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260325,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-48A31F90,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-2A0F35D2,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260405,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E3587609,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260417,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0AA92D43,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260423,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-373DE03B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260428,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-48377793,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260517,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-71988048,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260530,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-9EAB9324,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260616,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3B9DA56D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260622,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-500C91A1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260706,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-727DC88B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260815,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-233806C3,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260823,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5D07EFAF,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260830,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3F5D7851,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260929,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-337E9546,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261008,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-64CB2AB1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261017,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-7138618A,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261029,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A7DD3EA1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261110,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C016253B,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261116,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4660BD77,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261128,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D455FC38,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261203,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-64F9062C,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261209,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D4D88EDC,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261214,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0C18AC25,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261219,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-CC8A3007,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261223,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B018B677,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260118,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E7B29B64,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260319,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-ECC69A67,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260404,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C37293B9,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260414,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-7F9439AE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260421,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E32F4B41,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260504,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-1487EEE7,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260704,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-CC65321E,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260826,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-E3B2359A,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260926,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-E9C7C886,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261009,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-85A3369E,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261030,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E87609BE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261112,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-1724B02D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261121,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-64A6A46F,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261226,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2683013D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260402,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-E2BF4CC1,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260410,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-A2EF60AE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260420,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-8D728E39,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260430,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-054A37CB,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260505,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-DD372116,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260509,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B20F8E28,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260602,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B5450655,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260619,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
