approval_package_id,package_readiness,baseline_validity,comparator_set_status,dominance_validation_status,sensitivity_robustness,displacement_validation_status,interpretation_validation_status,scenario_validation_index
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250415,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250429,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250504,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250517,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250521,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250529,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250606,Requires Assumption Review,Partial,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.281
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250613,Requires Assumption Review,Partial,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.281
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250618,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250702,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250709,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250726,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250802,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250822,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250903,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250916,Requires Assumption Review,Valid,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20250929,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20251020,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20251026,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20251111,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20251127,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20251203,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250120,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250125,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250214,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250226,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250304,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250314,Requires Assumption Review,Partial,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250319,Requires Assumption Review,Partial,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250422,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250502,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250509,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250602,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250621,Requires Assumption Review,Valid,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250704,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250724,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250824,Requires Assumption Review,Valid,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250908,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20250912,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20251004,Requires Assumption Review,Valid,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20251018,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20251030,Requires Assumption Review,Valid with Conditions,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.438
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20251219,Requires Assumption Review,Partial,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20251230,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed with Conditions,Not Assessable,Weakly Supported,Valid,0.312
